Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
196,"Mar 21, 2023","Mar 23, 2023","Mar 31, 2023",REVISED,"102 Ave Closed, 121 St - 120 St",102 Avenue NW,121 Street NW,120 Street NW,Total Closure,2 Days (9am - 3:30pm),March 23 & 24 and March 27 - 31 (9am - 3:30pm): 102 Ave will be closed to traffic from 121 St to the alley east of 121 St. Access to the 102 Ave bike facility will be maintained.,Telecom Installation,Construction,Central,Road,POINT (-113.530835921932 53.543024343191)
87,"Jan 27, 2023","Jan 01, 2023","Jul 01, 2023",Current,Westbound 38 Av Delays,38 Avenue NW,62 Street NW,66 Street NW,Travel Delays,6 Months,Westbound 38 Av is reduced to a single lane. Pedestrians are detoured to the south sidewalk.,Drainage Construction,Construction,Southeast,Road and Sidewalk,POINT (-113.433575424867 53.474388287241)
87,"Jan 27, 2023","Jan 01, 2023","Jul 01, 2023",Current,Westbound 38 Av Delays,38 Avenue NW,62 Street NW,66 Street NW,Travel Delays,6 Months,Westbound 38 Av is reduced to a single lane. Pedestrians are detoured to the south sidewalk.,Drainage Construction,Construction,Southeast,Road and Sidewalk,POINT (-113.439199101633 53.474336363874)
195,"Mar 21, 2023","Apr 13, 2023","Apr 13, 2023",Current,SB 170 St - WB 118 Av Right Turn Bay Closure,170 Street NW,118 Avenue NW,,Travel Delays,1 Day (9am to 3pm),"The right turn bay from SB 170 St to WB 118 Av will be closed from 9am to 3pm on Thursday, April 13. Right turns will still be allowed around the island on the NW corner.",Drainage Repairs,Construction,Northwest,Road,POINT (-113.615307408798 53.570460874583)
5,"Nov 08, 2022","Nov 28, 2022","Mar 31, 2023",Current,63 AV Lane Closures,63 Avenue NW,Gateway Boulevard NW,100 Street NW,Increased Travel Time,Four Months,"63 AV eastbound, Gateway Boulevard - 100 ST reduced to one lane for drainage shaft installation.",Drainage Shaft Install,Construction,Central,Road,POINT (-113.4890355164 53.499869166416)
5,"Nov 08, 2022","Nov 28, 2022","Mar 31, 2023",Current,63 AV Lane Closures,63 Avenue NW,Gateway Boulevard NW,100 Street NW,Increased Travel Time,Four Months,"63 AV eastbound, Gateway Boulevard - 100 ST reduced to one lane for drainage shaft installation.",Drainage Shaft Install,Construction,Central,Road,POINT (-113.494002783845 53.499867190035)
183,"Mar 14, 2023","Mar 28, 2023","Mar 28, 2023",Current,EB 102 Ave - Right lane closed,102 Avenue NW,125 Street NW,,Travel Delays,1 Day (9am - 3:30pm),Eastbound 102 Ave right lane closed at 125 St. Left turns from eastbound 102 Ave to northbound 125 St will be banned for the duration of the lane closure.,Tree Removal,Construction,Central,Road,POINT (-113.537667128713 53.543020363463)
210,"Mar 28, 2023","Mar 28, 2023","Apr 11, 2023",Current,Full time single lane closure,Belgravia Road NW,Fox Drive NW,,Travel Delays,2 Weeks,Westbound Belgravia Rd under the Fox Dr overpass will be reduced by a single lane for drainage construction.,Drainage Construction,Construction,Central,Road,POINT (-113.539262019912 53.503999713559)
8,"Jan 11, 2023","Dec 03, 2022","Apr 28, 2023",Current,Southbound 142 St Closure,142 Street NW,124 Avenue NW,Yellowhead Trail,Directional Closure,5 Months,"In the interim, 142 St will only be open to Northbound traffic to Eastbound (right) turns onto Yellowhead Trail. Eastbound Yellowhead Trail to Southbound 142 Street will be banned. The Eastbound to Southbound movement will open later in 2023.",Yellowhead Trail Improvement,Construction,Northwest,Road,POINT (-113.56581852545 53.578657577108)
45,"Jan 12, 2023","Aug 15, 2022","Apr 08, 2023",REVISED,101 Av Closure,101 Avenue NW,144 Street NW,145 Street NW,Total Closure,9 Months,101 Av will be closed from 144 St to 145 St starting on August 15 until March 31. Use other routes.,Drainage Shaft Install,Construction,Northwest,Road,POINT (-113.569123501177 53.541252502108)
11,"Jan 11, 2023","Oct 31, 2022","May 31, 2023",Current,Yellowhead Trail Freeway Conversion Project,Yellowhead Trail,St. Albert Trail,156 Street NW,Travel Delays,7 Months,Yellowhead Trail in both directions from East of St. Albert Trail to West of 156 St will be reduced to two lanes with a speed reduction in place through the winter.,Yellowhead Trail Improvements,Construction,Northwest,Road,POINT (-113.590610497653 53.578402392784)
121,"Feb 10, 2023","May 01, 2023","May 15, 2023",REVISED,145 Street Closed,145 Street NW,Stony Plain Road,101 Avenue NW,Travel Delays,2 Weels,145 Street will be closed from Stony Plain Rd to 101 Av. Use other routes.https://marigoldinfra.ca/ *new dates and duration*,West LRT Construction,Construction,Northwest,Road,POINT (-113.570848050306 53.542058329998)
12,"Jan 11, 2023","Oct 14, 2022","Jul 28, 2023",Current,WB 153 Ave at 73A St Reduced to Single Lane,153 Avenue NW,73A Street NW,,Travel Delays,9 Months,WB 153 Ave is reduced to a one inside lane from East of 73A St to West of 73A St. Keep left. North sidewalk of 153 Ave from 70 St to 73A St is closed. Crosswalk at 73A St and 153 Ave is closed. East sidewalk of 73A St from 153 Ave to 154 Ave is closed.,Drainage Repair,Construction,Northeast,Road,POINT (-113.454943890015 53.615854957605)
10,"Jan 11, 2023","Oct 31, 2022","May 31, 2023",Current,Westbound Yellowhead Trail to 156 St Ramp Detour,Yellowhead Trail,156 Street NW,,Travel Delays,7 Months,Ramp detour via service road during construction.,Yellowhead Trail Improvement,Construction,Northwest,Road,POINT (-113.590610497653 53.578402392784)
9,"Jan 11, 2023","Apr 05, 2022","May 05, 2023",Current,153 Ave Drainage Construction,153 Avenue NW,Castle Downs Road,,Travel Delays,13 Months,The Eastbound 153 Avenue to Southbound Castle Downs Road turn bay is closed for drainage construciton,Drainage Construction,Construction,Northeast,Road,POINT (-113.516708557493 53.614183964408)
123,"Feb 10, 2023","Mar 29, 2023","Apr 14, 2023",REVISED,90 Av Closed at Meadowlark Rd,90 Avenue NW,Meadowlark Road,156 Street NW,Total Closure,2 Weeks,90 Av will be closed South of Meadowlark Rd. Use other routes. Pedestrian will be directed to the North side. *new dates*https://marigoldinfra.ca/,WLRT Construction,Construction,Northeast,Road and Sidewalk,POINT (-113.592008656923 53.523522111227)
113,"Feb 09, 2023","Feb 15, 2023","Oct 31, 2023",Current,Jasper Ave Closure,Jasper Avenue NW,91 Street NW,92 Street NW,Total Closure,9 Months,"Starts Feb 15, 2023 until Oct 2023. Jasper Ave from 91 St - 92 St closed as part of the Latta Bridge replacement project. Local and emergency access along 91 St maintained via the alleys north of Jasper Ave",Latta Bridge Replacement,Construction,Central,Road,POINT (-113.474294583277 53.549966556126)
13,"Jan 11, 2023","May 25, 2021","Sep 30, 2023",Current,231 St Closed from Whitemud Dr to Rosenthal Blvd,231 Street NW,Whitemud Drive,Rosenthal Bouevard,Total Closure,2.5 Years,"Starting at 9AM on May 25, 231 Street will be closed from Whitemud Drive to North of Rosenthal Boulevard. Left and right turns will be banned to travel Northbound 231 Street. Detour using alternate routes.",Roadworks,Construction,Northwest,Road,POINT (-113.713448121791 53.512211102986)
142,"Feb 17, 2023","Mar 13, 2023","Apr 13, 2023",REVISED,164 St Closed S of 87 Av to Alley,164 Street NW,87 Avenue NW,83 Avenue NW,Total Closure,1 Month,164 St will be closed from 87 Av to the alley S of 87 Av Use other routes.Https://marigoldinfra.ca/,LRT Construction,Construction,Northwest,Road,POINT (-113.605462362956 53.516813234315)
142,"Feb 17, 2023","Mar 13, 2023","Apr 13, 2023",REVISED,164 St Closed S of 87 Av to Alley,164 Street NW,87 Avenue NW,83 Avenue NW,Total Closure,1 Month,164 St will be closed from 87 Av to the alley S of 87 Av Use other routes.Https://marigoldinfra.ca/,LRT Construction,Construction,Northwest,Road,POINT (-113.60545383294 53.519534886065)
218,"Mar 30, 2023","Apr 10, 2023","Aug 11, 2023",Current,Fort Road Widening Work,Fort Road,125 Avenue,66 Street,Total Closure,4 months,"Beginning at 5 a.m. on Monday April 10, Fort Road is closed to vehicle traffic for on going road construction work. Detour using 66 Street.To access Fort Road Businesses north of 126A Avenue use Fort Road at 66 Street.",Road Construction,Construction,Northeast,Road,POINT (-113.448210569401 53.582796384358)
52,"Jan 13, 2023","Sep 19, 2022","Apr 17, 2023",REVISED,Total Closure,108 Street NW,104 Avenue NW,103 Avenue NW,Travel Delays,7 Months,Access to and from 108 St at 104 Ave will be closed to traffic. Local and emergency access on 108 St will be maintained south of the closure to 103 Ave.,WLRT Waterline Installation,Construction,Central,Road,POINT (-113.506580902448 53.546227766762)
168,"Mar 02, 2023","Apr 11, 2023","Apr 14, 2023",REVISED,156 St Reduced to 1 Lane NB,156 Street NW,99 Avenue NW,100 Avenue NW,Travel Delays,4 Days,156 St will be reduced to 1 lane NB from 99 Av to 100 Av. Use other routes.,Water Line Repair,Construction,Northwest,Road,POINT (-113.590313682446 53.537606920343)
206,"Mar 23, 2023","Mar 30, 2023","Mar 30, 2023",Current,Single lane closure each direction,Yellowhead Trail,107 Street,121 Street,Increased Travel Time,1 Day (9 a.m. - 12:30 p.m.),Yellowhead Trail reduced to two lane each direction; left centre median lane closed each direction.  Keep right.,Street Light Repair Replace,Construction,Northeast,Road,POINT (-113.525706943472 53.580794657365)
206,"Mar 23, 2023","Mar 30, 2023","Mar 30, 2023",Current,Single lane closure each direction,Yellowhead Trail,107 Street,121 Street,Increased Travel Time,1 Day (9 a.m. - 12:30 p.m.),Yellowhead Trail reduced to two lane each direction; left centre median lane closed each direction.  Keep right.,Street Light Repair Replace,Construction,Northeast,Road,POINT (-113.505685589152 53.581345947639)
43,"Jan 12, 2023","Oct 25, 2021","Jul 31, 2023",Current,170 St Pedestrian Overpass Construction,170 Street NW,87 Avenue NW,90 Avenue NW,Travel Delays,18 Months,The northbound right lane of 170 St will be closed. Pedestrian access on the east side of 170 St will be maintained for a large portion of the project via a pedestrian by-pass adjacent to the site but periodic pathway closures may be required.,Overpass Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.615383585594 53.519548030193)
43,"Jan 12, 2023","Oct 25, 2021","Jul 31, 2023",Current,170 St Pedestrian Overpass Construction,170 Street NW,87 Avenue NW,90 Avenue NW,Travel Delays,18 Months,The northbound right lane of 170 St will be closed. Pedestrian access on the east side of 170 St will be maintained for a large portion of the project via a pedestrian by-pass adjacent to the site but periodic pathway closures may be required.,Overpass Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.615333735387 53.524877229564)
197,"Mar 21, 2023","Apr 05, 2023","Apr 05, 2023",Current,"SBD 116 St Closed, 109 Ave - 108 Ave",116 Street NW,109 Avenue NW,108 Avenue NW,Directional Closure,1 Day (9am - 3:30pm),April 5 (9am - 3:30pm): Southbound 116 St will be closed to traffic from 109 Ave - 108 Ave. Local access will be maintained in the northbound direction.,Tree Removal,Construction,Central,Road,POINT (-113.521310013369 53.554585816863)
211,"Mar 28, 2023","Apr 11, 2023","Apr 13, 2023",Current,149 St Reduced to 1 Lane Each Way,149 Street NW,110 Avenue NW,109 Avenue NW,Travel Delays,3 Days,149 St will be reduced to 1 lane each way. Use other routes.,Water Line Repair,Construction,Northeast,Road,POINT (-113.578078167255 53.55585192472)
46,"Jan 12, 2023","Dec 29, 2022","Nov 20, 2024",Current,Stony Plain Road Closure,Stony Plain Road,129 Street NW,131 Street NW,Total Closure,23 Months,"Stony Plain Road will be closed from 7pm on Thursday, December 29 until November 30, 2024 for the removal and replacement of the bridge over Groat Road. Use other routes.",Bridge Structure Replacement,Construction,Northwest,Road and Sidewalk,POINT (-113.544539885848 53.547972146913)
143,"Feb 17, 2023","May 08, 2023","Jun 01, 2023",Current,156 Street Closed,156 Street NW,Meadowlark Road,90 Avenue NW,Total Closure,3.5 Weeks,156 St will be closed from Meadowlark Road to approximately 50m South of Meadowlark Rd. Use other rotues.https://marigoldinfra.ca/,LRT Construction,Construction,Northwest,Road,POINT (-113.590550003567 53.524594587316)
92,"Jan 30, 2023","Aug 22, 2022","Oct 31, 2023",Current,Bridge Closure,Jasper Avenue NW,90 Street NW,91 Street NW,Total Closure,15 Months,"Starts Aug 22 until Oct 2023, Latta Br will be closed to vehicles and pedestrians for replacement. Local and emergency access maintained. Detour using other route",Latta Bridge Replacement,Construction,Central,Road and Sidewalk,POINT (-113.473142183115 53.551654886337)
177,"Mar 10, 2023","Mar 14, 2023","Apr 07, 2023",REVISED,100 Ave Eastbound Closure,100 Avenue NW,103 Street NW,104 Street NW,Directional Closure,,Starts Mar 14/23. 100 Ave EBD from 103 St - 104 St closed.. Detour using other route.,Utility Installation,Construction,Central,Road,POINT (-113.497383377465 53.538828797641)
112,"Jan 18, 2023","Feb 15, 2023","Apr 14, 2023",Current,100 Ave Westbound Closure,100 Avenue NW,103 Street NW,104 Street NW,Directional Closure,6 Weeks,Starts Wed Feb 15/23. 100 Ave WBD from 103 St - 104 St closed. Detour using other route.,Utility Installation,Construction,Central,Road,POINT (-113.497383377465 53.538828797641)
14,"Jan 11, 2023","Nov 15, 2022","Apr 30, 2023",REVISED,Winterburn Road SB Single Lane Closure,Winterburn Road,103 Avenue NW,100 Avenue NW,Travel Delays,5.5 Months,Southbound Winterburn Road from 103 Ave - 100 Ave will be reduced to a single lane of traffic to conduct a bridge inspection. Please use other routes.,Bridge Inspection,Construction,Northwest,Road,POINT (-113.688941668887 53.539564945903)
14,"Jan 11, 2023","Nov 15, 2022","Apr 30, 2023",REVISED,Winterburn Road SB Single Lane Closure,Winterburn Road,103 Avenue NW,100 Avenue NW,Travel Delays,5.5 Months,Southbound Winterburn Road from 103 Ave - 100 Ave will be reduced to a single lane of traffic to conduct a bridge inspection. Please use other routes.,Bridge Inspection,Construction,Northwest,Road,POINT (-113.688382066492 53.544159713462)
64,"Jan 18, 2023","Jan 23, 2023","Apr 14, 2023",REVISED,104 St Closure,104 Street NW,100 Avenue NW,Jasper Avenue NW,Total Closure,3 Weeks,"Starts Mon Jan 23, 2023. 104 St, 100 Ave - 80m N of 100 Ave closed. Local access maintained via Jasper Ave - 104 St. Detour using other route.",Utility Installation,Construction,Central,Road,POINT (-113.499278394017 53.538848863674)
93,"Jan 30, 2023","Aug 15, 2022","Aug 29, 2023",Current,Sidewalk Closures,100 Street NW,101A Avenue NW,102 Avenue NW,Total Closure,12 Months,"Sidewalk closures; 1) E/S 100 St, 101A Ave - N of 101A Ave 2) W/S 99 St, 101A Ave - N of 101A Ave 3) N/S 101A Ave, 99 St - 100 St.",Centennial Plaza Redevelopment,Construction,Central,Sidewalk,POINT (-113.490502395156 53.54225936035)
22,"Jan 18, 2022","Jan 17, 2022","May 31, 2023",Current,Yellowhead Trail lane reduction,Yellowhead Trail,97 Street NW,Fort Road,Travel Delays,11 Months,Yellowhead Trail Eastbound is reduced by lane from 97 Street to Fort Road for Noise Attenuation System Installation (Sound Wall Replacement). Stay left or use other routes.  Access to 82 Street and Fort Road/Wayne Gretzky Drive exit ramps is maintained.,Sound Wall Replacement,Construction,Northeast,Road,POINT (-113.492107081909 53.581453107211)
132,"Feb 15, 2023","Mar 07, 2023","May 31, 2024",Current,34 Av Lane Reduction,34 Avenue NW,111 Street NW,106 Street NW,Travel Delays,Long Term Project,"Starts Mon, March 7th at 9am. 34 Av, 111 St - 106 St will be reduced to a single lane each direction. The intersections of 111 ST and 106 St will be at full lane capacity.",Drainage Tunnel Shaft,Construction,Southwest,Road,POINT (-113.516328900539 53.465904582209)
132,"Feb 15, 2023","Mar 07, 2023","May 31, 2024",Current,34 Av Lane Reduction,34 Avenue NW,111 Street NW,106 Street NW,Travel Delays,Long Term Project,"Starts Mon, March 7th at 9am. 34 Av, 111 St - 106 St will be reduced to a single lane each direction. The intersections of 111 ST and 106 St will be at full lane capacity.",Drainage Tunnel Shaft,Construction,Southwest,Road,POINT (-113.504139616499 53.467730013729)
21,"Jan 18, 2022","Sep 18, 2022","Apr 28, 2023",Current,Fort Rd Reduced to 1 Lane Each Direction,Fort Road,Yellowhead Trail,66 Street NW,Travel Delays,7 Months,Fort Rd is reduced to one lane in each direction.from 66 St to Yellowhead Trail due to on going road widening work.  Pedestrian movements maintained.,Road Widening,Construction,Northeast,Road and Sidewalk,POINT (-113.453009961103 53.580574889239)
198,"Mar 21, 2023","Apr 03, 2023","Apr 10, 2023",Current,Intersection Delays,Stony Plain Road,121 Street NW,,Travel Delays,1 week,"Stony Plain Rd / 121 St reduced to one lane each way; NB, EB & WB left turns and EB right turns banned at the intersection; south & west crosswalks closed at the intersection; 121 St NB & SB single file shared lanes; 30km/hr speed zones in place.",WLRT Drainage Install,Construction,Central,Road and Sidewalk,POINT (-113.530836515507 53.546262500601)
63,"Jan 18, 2023","Jan 23, 2023","Apr 07, 2023",REVISED,Sidewalk & Bike Lane Closure,100 Avenue NW,103 Street NW,104 Street NW,Total Closure,2 Months,"Starts Mon Jan 23, 2023. North sidewalk and bike lane closed on 100 Ave, 103 St - 104 St. Pedestrians must detour using the south sidewalk. Cyclists must detour using 106 St, 102 Ave & 103 St or use the south sidewalk under Yield to Pedestrian condition.",Utility Installation,Construction,Central,Road and Sidewalk,POINT (-113.497383377465 53.538828797641)
21,"Jan 18, 2022","Sep 18, 2022","Apr 28, 2023",Current,Fort Rd Reduced to 1 Lane Each Direction,Fort Road,Yellowhead Trail,66 Street NW,Travel Delays,7 Months,Fort Rd is reduced to one lane in each direction.from 66 St to Yellowhead Trail due to on going road widening work.  Pedestrian movements maintained.,Road Widening,Construction,Northeast,Road and Sidewalk,POINT (-113.442933698473 53.585061827375)
218,"Mar 30, 2023","Apr 10, 2023","Aug 11, 2023",Current,Fort Road Widening Work,Fort Road,125 Avenue,66 Street,Total Closure,4 months,"Beginning at 5 a.m. on Monday April 10, Fort Road is closed to vehicle traffic for on going road construction work. Detour using 66 Street.To access Fort Road Businesses north of 126A Avenue use Fort Road at 66 Street.",Road Construction,Construction,Northeast,Road,POINT (-113.442933698473 53.585061827375)
175,"Mar 09, 2023","Mar 20, 2023","Dec 31, 2023",Current,97 ST Total Closure,97 Street NW,79 Avenue NW,80 Avenue NW,Total Closure,9+ Months,"97 ST, 79-80 AV northbound and southbound closed for drainage shaft installation. Pedestrian detour as per posted signage. Local access will be maintained. Detour using other routes.",Drainage Shaft Installation,Construction,Central,Road,POINT (-113.479762568596 53.5151456966)
185,"Mar 14, 2023","Mar 21, 2023","Mar 21, 2023",Current,104 ST Lane Reduction,104 Street NW,84 Avenue NW,83 Avenue NW,Increased Travel Time,One Day,"104 ST, 84-83 AV reduced to a single lane between 09:00-15:30hrs. Keep right or use alternate routes.",Drainage Install,Construction,Central,Road,POINT (-113.497564479783 53.520017403214)
120,"Feb 10, 2023","Feb 23, 2023","Apr 23, 2023",Current,Right Turn Bay WB to NB Closed,87 Avenue NW,170 Street NW,,Travel Delays,2 Months,The right turn bay from WB 87 Av to NB 170 St will be closed for construction on the WLRT line. Right turns will be allowed from the curb lane.,West LRT Construction,Construction,Northwest,Road,POINT (-113.615383585594 53.519548030193)
76,"Jan 24, 2023","Jan 23, 2023","Apr 14, 2023",Current,Single lane closures,34 Street NW,Whitemud Drive NW,56 Avenue NW,Travel Delays,3 Months,Staged turning lane closures due to drainage installation contruction. Closure to go into peak hours. Speed reduced accordingly. Expect travel delays.,Drainage Installation,Construction,Southeast,Road,POINT (-113.393795955643 53.487196374436)
22,"Jan 18, 2022","Jan 17, 2022","May 31, 2023",Current,Yellowhead Trail lane reduction,Yellowhead Trail,97 Street NW,Fort Road,Travel Delays,11 Months,Yellowhead Trail Eastbound is reduced by lane from 97 Street to Fort Road for Noise Attenuation System Installation (Sound Wall Replacement). Stay left or use other routes.  Access to 82 Street and Fort Road/Wayne Gretzky Drive exit ramps is maintained.,Sound Wall Replacement,Construction,Northeast,Road,POINT (-113.453009961103 53.580574889239)
